geometry,MSOA11CD,MSOA_name,HOC_MSOA_NM,,March,April,May,June,July,total_deaths,USUALRES,White,Mixed/multiple ethnic groups,Asian/Asian British,Black/African/Caribbean/Black British,Other ethnic group,BAME,White%,Mixed/multiple ethnic groups (%),Asian/Asian British (%),Black/African/Caribbean/Black British (%),Other ethnic group (%),BAME%,deprived%,% of people aged over 60 who live in pension credit households,eng_hhold,eng_hhold%,none_eng_hhold,none_eng_hhold%
"MULTIPOLYGON (((-0.143039545648448 51.3221571107299,-0.142949201361767 51.321348325331,-0.140348159931315 51.3224043028908,-0.140656122590097 51.3211771832249,-0.140789055449405 51.3200192260904,-0.140616574501723 51.3198284487005,-0.140271421330237 51.3194680500751,-0.140678283807901 51.3187995849405,-0.141879959248068 51.3185375621498,-0.143536965128479 51.3172206728199,-0.144140185742464 51.3161763440321,-0.144208544395036 51.3146075314726,-0.145957976832344 51.3141908560213,-0.145691766569233 51.3137480631399,-0.145053357636194 51.3135670892779,-0.143424227376591 51.313757098091,-0.142339719964742 51.3142504187687,-0.139677579514601 51.3137416471947,-0.14167963572549 51.3120359135073,-0.140992778361688 51.3117850747683,-0.140747302217072 51.3120228315395,-0.137577648027174 51.3149772034409,-0.136032418073429 51.3155731194496,-0.136096023909305 51.3136496756427,-0.136494032875974 51.3109921122864,-0.136411226920405 51.3071736593883,-0.132114868535266 51.3076764790288,-0.132323848225568 51.3053255330051,-0.131572138654467 51.3053960763692,-0.131015483824447 51.3027233793852,-0.131878983044951 51.3026562241422,-0.132137586704822 51.3004913383168,-0.13139703365117 51.2994402498609,-0.129268378497965 51.2978074620768,-0.132060802646388 51.2960622679501,-0.134469433398221 51.2983854740797,-0.13629978976029 51.2982176264899,-0.136445996153326 51.2986754573384,-0.137403003936714 51.300797142018,-0.140989047543955 51.2995617053865,-0.14285935100022 51.2999820058214,-0.143585033957678 51.3012621995789,-0.144449612172778 51.3005431710858,-0.144884281518812 51.3007166142599,-0.14566865159835 51.299839597585,-0.148128426400539 51.3006126721739,-0.148478621385803 51.3007054134421,-0.14952324221568 51.300702673835,-0.150019592645176 51.3002879998949,-0.152563384123086 51.3013951311033,-0.153386853773323 51.3016798109579,-0.155390471516183 51.3013542803559,-0.15612653666966 51.3026008166258,-0.157728821199434 51.3045944755495,-0.155049177060329 51.3057933780756,-0.154535024195946 51.3064504625988,-0.157053787713767 51.3066871192721,-0.154371690719651 51.310253378677,-0.154780699077357 51.3103013981083,-0.15644320442975 51.3104106502042,-0.15835711802532 51.3109874909592,-0.15721936786606 51.3134206780067,-0.158085228432737 51.3146317858844,-0.159168062282912 51.3156837357406,-0.159607202493028 51.3171068805383,-0.160574449120332 51.3168503525457,-0.161211657649294 51.3174433241716,-0.161906571307356 51.3196271254419,-0.161546361555988 51.3197461645599,-0.156508905554581 51.3214396701766,-0.156569584735927 51.3215098335894,-0.155799558425828 51.3216764588427,-0.155957741917281 51.3218869342041,-0.153218583519764 51.3227851048847,-0.152795809452682 51.3229423210642,-0.152153862264879 51.3222873949674,-0.150675428190054 51.3222025110965,-0.149111347290722 51.3227375917363,-0.147364804038299 51.3228083916144,-0.147708758058242 51.3220555626599,-0.147400096256174 51.3219225512786,-0.146484868219921 51.3222373931838,-0.146202559424934 51.3219377821096,-0.145195754650723 51.3219388905173,-0.145286155811003 51.3226412454057,-0.144228791362906 51.3229974695149,-0.143039545648448 51.3221571107299)))",E02000236,Croydon 043,Woodmansterne,,2,5,1,1,0,9,7659,6443,313,535,317,51,1216,84.1,4.1,7.0,4.1,0.7,15.9,7.3,8.9,2801,98.7,37,1.3
"MULTIPOLYGON (((-0.116571895247828 51.315944174105,-0.115248370524467 51.3147823663496,-0.114579487049248 51.3151277857677,-0.113782221566682 51.3146019514214,-0.112508511570206 51.3131541153821,-0.112000379372225 51.3122486835189,-0.110128537931341 51.3109109232063,-0.110456068963509 51.3105564961339,-0.109715260144019 51.3082887528445,-0.107851146934732 51.307066438733,-0.106715766799788 51.3067359898864,-0.103882779566446 51.3073128660271,-0.102731298964194 51.30605419202,-0.103380481051865 51.3057502387243,-0.103860083081115 51.3047961955774,-0.10342172751394 51.3035713759739,-0.101313356708774 51.3019325772845,-0.100430719332215 51.3015506785684,-0.100466958901289 51.3022365481773,-0.097272726168232 51.3002968870778,-0.095803263107216 51.299603030448,-0.094303795377174 51.2994400634544,-0.095047491475576 51.2990330807305,-0.096183190652299 51.2985067569854,-0.101167036760553 51.2962880474147,-0.102562773864968 51.2960398285438,-0.105384353223589 51.2948099579335,-0.108736345631206 51.2933256833675,-0.111079363733704 51.2922540610781,-0.114850272165161 51.2924354063642,-0.114622060547812 51.291534228018,-0.115143749616797 51.2914653614331,-0.115756416325226 51.2907296447385,-0.117007732400066 51.2893757155312,-0.117801882944451 51.287096173877,-0.122391590979814 51.2868843587896,-0.12431928462511 51.2867601323629,-0.12608333477896 51.2883865700367,-0.126275884456525 51.2894918313831,-0.127441381264166 51.2906057331927,-0.130215688500219 51.2926843217489,-0.131482062767762 51.2947005225098,-0.131110281577861 51.2954450663444,-0.132060802638605 51.2960622679544,-0.129268378506657 51.2978074620857,-0.131397033644849 51.299440249861,-0.132137586687064 51.3004913383141,-0.131878983038331 51.3026562241435,-0.131015483812669 51.302723379386,-0.131572138663062 51.3053960763773,-0.132323848237407 51.3053255330029,-0.132114868522532 51.3076764790289,-0.136411226931609 51.3071736593905,-0.136494032861459 51.3109921122857,-0.133412611541357 51.3114825111189,-0.133279424932629 51.3120931299525,-0.129834068174614 51.3105605304307,-0.128723577653568 51.3103590124794,-0.128371113282514 51.3106470302442,-0.128073553010492 51.3111216349844,-0.128674621432908 51.3115834990565,-0.127520599272327 51.3117522271409,-0.127245894834624 51.3119766288959,-0.127632946200298 51.3126504347962,-0.129240262751777 51.3133212854415,-0.128783312405861 51.3133180491078,-0.128311443647842 51.3141908935402,-0.127657314366054 51.3142833588511,-0.127490221087343 51.3136709843977,-0.126829742142231 51.3138250700983,-0.126599481015202 51.3136319172568,-0.126832580790263 51.3127914293002,-0.125004584992151 51.3131297721579,-0.123347186306866 51.3125338246778,-0.11889907420759 51.3134549353328,-0.116571895247828 51.315944174105)))",E02000237,Croydon 044,Old Coulsdon,,1,7,5,0,0,13,7475,6432,350,324,323,46,1043,86.0,4.7,4.3,4.3,0.6,14.0,9.0,12.9,3040,98.4,50,1.6
"MULTIPOLYGON (((-0.338734566509808 51.5527439694525,-0.339159201025156 51.5519320289287,-0.339496709975745 51.5507197424154,-0.341351367540269 51.5460198423847,-0.342585346638845 51.5465739190585,-0.343125398623776 51.5477865156082,-0.344277738749089 51.5479270730945,-0.344955854115403 51.5455543986098,-0.348285884820235 51.5459773166305,-0.349011407086832 51.5462496335113,-0.350137050426441 51.546313881436,-0.351846496889215 51.5481293475924,-0.352103838100592 51.5487832980626,-0.351750814035708 51.5491167979338,-0.352630026319616 51.5496159305566,-0.350810217134629 51.5509340389204,-0.351894957673 51.5515614439365,-0.352019085498674 51.5520365200291,-0.353914584838995 51.5523855698136,-0.354579048820333 51.5522450790826,-0.353135939345648 51.5518253809669,-0.354515446835459 51.5510244103478,-0.355690115832228 51.5526714818292,-0.355157520032595 51.5528534201981,-0.355572841734797 51.5535860554445,-0.35597642511965 51.5537140138674,-0.357251355003108 51.5541181484734,-0.360462139254117 51.5553641630829,-0.361709649136925 51.5561170869315,-0.362245712830586 51.5572939795368,-0.360582499635417 51.5575038501776,-0.359398367843393 51.5576686912689,-0.355199143778554 51.5584597234362,-0.353452411915967 51.5587303688684,-0.353347325144795 51.5587449543489,-0.352512927579912 51.5588705625614,-0.347556823077534 51.5596838475691,-0.34549988962667 51.5583734094046,-0.345405639815117 51.5583131274716,-0.344977312559864 51.5581420348082,-0.34299191015587 51.5575342597798,-0.339825671958434 51.557302530471,-0.33780187556947 51.5570709701414,-0.337476484138946 51.5569999976846,-0.336950781749442 51.5566545301838,-0.338250025645696 51.5558366594514,-0.337752939914643 51.5552271391348,-0.337025513629663 51.5550010094214,-0.337776509310468 51.5540123344317,-0.338734566509808 51.5527439694525)))",E02000238,Ealing 001,Whitton Avenue West,,3,2,0,0,0,5,9500,4533,354,2925,1294,394,4967,47.7,3.7,30.8,13.6,4.1,52.3,15.8,20.1,2344,73.7,835,26.3
"MULTIPOLYGON (((-0.308006857783453 51.5460586931866,-0.307180566422196 51.5452843460447,-0.308960352805779 51.5452431628687,-0.308096293980975 51.5444562550548,-0.308576313372646 51.5432393808204,-0.310793213896571 51.5446367429848,-0.313435114424141 51.5444527123657,-0.316200274699969 51.5438551462265,-0.316593585089517 51.5437708583862,-0.3195381349541 51.5431442697593,-0.32170951587766 51.5418922704816,-0.323519859442469 51.5419094481659,-0.325114249792649 51.5423202809547,-0.328251502242128 51.5420412673644,-0.329639019681415 51.5416492469475,-0.331602743651182 51.5421720499261,-0.335207739806229 51.542619321903,-0.336279163825568 51.5432839402769,-0.337421766002308 51.5451864680458,-0.338790133648337 51.5462695428001,-0.341351367540658 51.5460198423886,-0.339496709975998 51.5507197424178,-0.339159201022347 51.5519320289246,-0.3387345665095 51.5527439694498,-0.337776509322332 51.5540123344368,-0.337025513631137 51.5550010094248,-0.337752939916053 51.5552271391323,-0.338250025655135 51.5558366594542,-0.336950781746569 51.5566545301912,-0.337476484137134 51.5569999976832,-0.335584769807066 51.5565833127361,-0.335129457648468 51.5564830554859,-0.331438550964733 51.5557873695449,-0.329887238460618 51.5555936737783,-0.327964400545404 51.5552967113899,-0.325647517492189 51.5544983616416,-0.322263944629945 51.5532136233548,-0.32219071682864 51.5531837021579,-0.319169971300306 51.5520339181077,-0.315792279193831 51.550563402672,-0.315721296825889 51.5505318820115,-0.312558126055048 51.5490207296361,-0.311496265766193 51.5475588128909,-0.308006857783453 51.5460586931866)))",E02000239,Ealing 002,Horsenden,,0,7,0,0,0,7,9000,3742,271,3695,835,457,5258,41.6,3.0,41.1,9.3,5.1,58.4,10.8,18.1,2109,72.1,815,27.9
"MULTIPOLYGON (((-0.355572841729929 51.553586055452,-0.355157520031001 51.5528534201957,-0.355690115827051 51.5526714818279,-0.354515446834913 51.5510244103455,-0.354582231479169 51.5509679495367,-0.354856746752843 51.5507358878402,-0.355665778465386 51.5500157470505,-0.357770829721578 51.5483842121996,-0.357881655663641 51.5485636384403,-0.357641154355333 51.5497251966424,-0.359035543077412 51.5514229055505,-0.360253531802538 51.5513200397116,-0.360536625836496 51.5509557193335,-0.36335971931325 51.5497793922517,-0.364701783449794 51.5491924966087,-0.364547398034715 51.5488019800726,-0.36533037138494 51.5484559538873,-0.367695537238419 51.5493069833784,-0.366920283336868 51.5495849447851,-0.366898010864842 51.550609746837,-0.367696890042956 51.5499627411793,-0.368465940607136 51.5502803683026,-0.369361627945064 51.5497100252143,-0.370373191076497 51.5499943575548,-0.371024277688081 51.5497648081865,-0.371713505379467 51.5503162091043,-0.373014400941721 51.5494312932964,-0.373426265965302 51.5495372576426,-0.373191144465537 51.5493628673477,-0.374020570884057 51.5489785272221,-0.374432124197203 51.5486168890717,-0.373206224020053 51.5479247280175,-0.373808015771428 51.5475915550651,-0.375363989604757 51.5485122134589,-0.376707627533709 51.547992761509,-0.375554960706675 51.5473293611673,-0.375076251935491 51.5456703155298,-0.374407938495592 51.5451176139741,-0.374803216399085 51.5449105498871,-0.375238222653771 51.5452492682837,-0.375636409759913 51.5450637061049,-0.375360145918409 51.5446730092755,-0.376733514040621 51.5438717124752,-0.375526702065255 51.543812000243,-0.375253577656321 51.5433969596396,-0.373394698172683 51.5427609380714,-0.372928529748126 51.5428813275445,-0.373467054175074 51.5414640407463,-0.374392847654379 51.5417685430077,-0.378377073574511 51.5431664484175,-0.380162183232162 51.5437964713498,-0.382044967903106 51.544460851084,-0.382447603449517 51.5445941908,-0.388866985229675 51.54655080438,-0.395005302180655 51.5480075337091,-0.395080331659264 51.5484546263256,-0.394986901512105 51.5487558634388,-0.393945301993589 51.5486968119058,-0.388333727605338 51.5502438666953,-0.385270306066944 51.5511701725211,-0.381224902685277 51.5531434129229,-0.380773621267888 51.5533799755108,-0.379137231465472 51.5541577868794,-0.377766872868703 51.5546929126314,-0.377894963157506 51.5549443606388,-0.377601086594464 51.5549978747727,-0.376551671398251 51.553513586176,-0.37586110321674 51.5530612540121,-0.375464614274308 51.5532457794964,-0.375021047613152 51.5534523839867,-0.374348353730773 51.5537311762777,-0.373365450757691 51.5540245664287,-0.372855845858699 51.5537161452917,-0.372327823491886 51.5539679592566,-0.370633127458846 51.554332191833,-0.369600168530903 51.5546254040434,-0.366696663739784 51.555086385305,-0.366590458441772 51.5553206106022,-0.365283910611347 51.5555043178634,-0.364319441638744 51.5556204912012,-0.363953067444555 51.5557043074597,-0.362541511534102 51.5560245864731,-0.362245712837969 51.5572939795337,-0.361709649136221 51.5561170869316,-0.360462139250049 51.5553641630883,-0.357251354993943 51.5541181484796,-0.355976425115877 51.5537140138638,-0.355572841729929 51.553586055452)))",E02000240,Ealing 003,Northolt West,,2,10,0,0,0,12,10265,4844,494,2616,1776,535,5421,47.2,4.8,25.5,17.3,5.2,52.8,26.3,24.1,2887,76.6,883,23.4
"MULTIPOLYGON (((-0.35210383810145 51.5487832980591,-0.351846496891637 51.5481293475937,-0.350137050417482 51.5463138814424,-0.349011407086066 51.5462496335149,-0.355891975627911 51.5452821091211,-0.356321232491139 51.5452194856698,-0.356626886202194 51.5451802897367,-0.361235198607931 51.5443336527085,-0.365577617857685 51.5406249624357,-0.36580748614253 51.539846928802,-0.365960097243857 51.539868567504,-0.366607424657124 51.5399604985962,-0.370060072123002 51.5405642432302,-0.373467054173292 51.5414640407457,-0.372928529747207 51.5428813275372,-0.373394698174673 51.5427609380697,-0.375253577659232 51.5433969596314,-0.375526702074526 51.5438120002455,-0.376733514046048 51.5438717124829,-0.375360145914961 51.5446730092717,-0.375636409746824 51.5450637061035,-0.375238222651636 51.5452492682872,-0.374803216407853 51.5449105498934,-0.374407938503069 51.5451176139743,-0.375076251932173 51.5456703155298,-0.37555496071069 51.5473293611629,-0.376707627533472 51.5479927615105,-0.375363989604105 51.5485122134631,-0.373808015782871 51.5475915550705,-0.373206224013841 51.547924728021,-0.374432124200526 51.5486168890663,-0.374020570886415 51.5489785272294,-0.373191144461019 51.5493628673453,-0.373426265962967 51.5495372576341,-0.373014400936028 51.5494312932965,-0.371713505374986 51.5503162091063,-0.371024277683504 51.5497648081893,-0.370373191083794 51.5499943575588,-0.369361627937981 51.5497100252114,-0.368465940604011 51.550280368296,-0.367696890041567 51.5499627411749,-0.366898010868395 51.5506097468329,-0.366920283347205 51.5495849447869,-0.367695537247898 51.549306983376,-0.365330371387969 51.548455953887,-0.364547398033218 51.5488019800695,-0.364701783456073 51.5491924966126,-0.363359719311924 51.5497793922582,-0.360536625821181 51.5509557193271,-0.36025353180629 51.5513200397146,-0.359035543088682 51.5514229055524,-0.357641154348738 51.5497251966329,-0.357881655674083 51.5485636384389,-0.357770829724537 51.5483842121979,-0.355665778472852 51.5500157470565,-0.354856746749584 51.5507358878354,-0.354582231470116 51.5509679495401,-0.354515446828376 51.5510244103472,-0.353135939344509 51.5518253809602,-0.354579048824432 51.5522450790767,-0.353914584835074 51.5523855698068,-0.352019085495468 51.5520365200255,-0.351894957678813 51.5515614439331,-0.350810217140992 51.5509340389273,-0.352630026318273 51.5496159305586,-0.351750814040245 51.5491167979352,-0.35210383810145 51.5487832980591)))",E02000241,Ealing 004,Northolt East,,3,6,0,0,0,9,6639,3396,223,1945,791,284,3243,51.2,3.4,29.3,11.9,4.3,48.8,14.3,18.0,1774,75.0,592,25.0
"MULTIPOLYGON (((-0.307145981474529 51.5418898992143,-0.305627007663495 51.5405317905886,-0.304735280495667 51.5398569416085,-0.305968320964847 51.5394289233958,-0.305983445590959 51.5391248876888,-0.305891329607326 51.5370231833012,-0.305890308348485 51.5369710762038,-0.305884908976459 51.5369456219907,-0.306377215862343 51.5338275750875,-0.307464345293446 51.5330506652621,-0.308174393081241 51.5330279862605,-0.311812633230848 51.5339402309607,-0.313584824638823 51.5344018182543,-0.311680144178974 51.5374809800738,-0.312164864493161 51.5382575052081,-0.313183616250605 51.5387277599432,-0.314965172286803 51.5388611245007,-0.315618991860778 51.5392651033268,-0.316077791436706 51.5378867254545,-0.317615607715207 51.5367103057405,-0.319250589013462 51.53796422543,-0.320161522392109 51.5379283629357,-0.322243726778216 51.5392252321271,-0.322048303221771 51.5397683941339,-0.320726312341124 51.539697855021,-0.320865709374871 51.5413501298215,-0.321169234967541 51.5413767562762,-0.324076915871983 51.541211208019,-0.323519859437055 51.5419094481705,-0.32170951586996 51.541892270483,-0.319538134950416 51.5431442697638,-0.316593585080594 51.5437708583861,-0.316200274700884 51.5438551462287,-0.313435114422639 51.5444527123703,-0.310793213900516 51.5446367429895,-0.308576313374023 51.5432393808227,-0.308296355297532 51.5429815283668,-0.307145981474529 51.5418898992143)))",E02000242,Ealing 005,Bilton Road,,1,10,0,0,0,11,6763,2462,252,3002,474,573,4301,36.4,3.7,44.4,7.0,8.5,63.6,14.4,24.2,1389,64.6,762,35.4
"MULTIPOLYGON (((-0.342585346645617 51.5465739190519,-0.34135136753584 51.5460198423817,-0.338790133653586 51.5462695427952,-0.337421766013008 51.5451864680442,-0.336279163818406 51.5432839402688,-0.335207739800283 51.5426193219011,-0.331602743645676 51.5421720499307,-0.331804709015757 51.5413071687796,-0.330966495410783 51.5396694737806,-0.329992929358455 51.5397493372825,-0.32977254347985 51.5384101833744,-0.330029531291941 51.5384751688688,-0.333972427617203 51.5395024258144,-0.335485035452183 51.5395184101828,-0.336990726898508 51.5390923795239,-0.338268111886765 51.5376990992876,-0.337839799870679 51.53615571536,-0.337022168981948 51.5344605522983,-0.333977965509009 51.5340752059584,-0.333278170031604 51.5340015020132,-0.333273599376233 51.5338696553982,-0.332722941250683 51.5320590247209,-0.329951912364911 51.5319073511707,-0.329802563219762 51.5340184001859,-0.328801458081557 51.5339798555862,-0.329057975413807 51.5336840847043,-0.327845973529286 51.5336898902612,-0.327834403123538 51.53105298324,-0.32961347668663 51.530998530477,-0.331164302802124 51.5314523655667,-0.331976198637414 51.5312794356162,-0.332439213318827 51.5308394886501,-0.332682954072265 51.5288666219505,-0.33410855286053 51.5283406298674,-0.336934721651049 51.5279087420942,-0.338686208007374 51.5282635210461,-0.339299408834066 51.5280393213849,-0.339858229427018 51.5278796148908,-0.340272031873712 51.5281707048178,-0.341734998540631 51.5275837050252,-0.344152202632696 51.5274026543738,-0.345526376208708 51.527461599508,-0.344694687047625 51.5281216343341,-0.344926761511055 51.5288654935621,-0.344418878177189 51.5297263593718,-0.34514579268311 51.5312241332946,-0.345868509851662 51.5316444805568,-0.345026801014363 51.5323088545348,-0.346076944335202 51.533284675428,-0.347455670146887 51.5343786785301,-0.348057728561148 51.5336695667119,-0.348709000125655 51.5328534083377,-0.34956821649913 51.531876342051,-0.350504379885267 51.5321467227648,-0.35051678421769 51.5335554614948,-0.350975363912674 51.5330320307687,-0.351812698566055 51.53307635827,-0.352184102247757 51.5321740145965,-0.353496436765418 51.5326432484256,-0.353049336348048 51.5331974866184,-0.354099626266205 51.533568903645,-0.353895705926443 51.5337976829129,-0.354404793609344 51.5341959965043,-0.353460407884526 51.5340673936571,-0.353203429261426 51.5347370722607,-0.354535218932336 51.5352284900188,-0.354035408538541 51.535430854366,-0.354167306814646 51.5356756122769,-0.353270228714001 51.5357619389282,-0.350917536380874 51.5354110707426,-0.350306925560768 51.5355975641256,-0.350553817027698 51.5369932601408,-0.354429178314591 51.5377639122382,-0.35627336309852 51.5381285557919,-0.356802952445875 51.5382393669916,-0.363554630047651 51.5395750576616,-0.365807486140975 51.5398469287996,-0.365577617862586 51.5406249624336,-0.361235198603423 51.544333652716,-0.356626886206966 51.5451802897361,-0.35632123248246 51.5452194856694,-0.355891975638304 51.5452821091249,-0.349011407084731 51.54624963352,-0.348285884819059 51.5459773166258,-0.344955854115249 51.5455543986089,-0.344277738745628 51.5479270730966,-0.343125398618858 51.5477865156046,-0.342585346645617 51.5465739190519)))",E02000243,Ealing 006,Greenford North,,3,10,0,0,1,14,8509,4166,360,2325,1058,600,4343,49.0,4.2,27.3,12.4,7.1,51.0,18.3,25.7,2253,73.4,815,26.6
"MULTIPOLYGON (((-0.323519859433267 51.5419094481683,-0.324076915878895 51.5412112080145,-0.321169234964242 51.5413767562767,-0.3208657093838 51.5413501298192,-0.320726312350777 51.5396978550249,-0.322048303222487 51.5397683941368,-0.322243726785303 51.5392252321275,-0.320161522387079 51.5379283629344,-0.31925058901439 51.5379642254246,-0.317615607705963 51.5367103057471,-0.316077791440715 51.5378867254499,-0.315618991867149 51.5392651033204,-0.314965172290914 51.5388611244935,-0.313183616259057 51.5387277599395,-0.312164864501881 51.5382575052124,-0.311680144184803 51.5374809800702,-0.31358482462929 51.5344018182586,-0.311812633241597 51.5339402309607,-0.308174393086268 51.533027986264,-0.307464345291731 51.5330506652631,-0.302731845849391 51.5319820526755,-0.303511280371599 51.5315088663725,-0.306135606120195 51.5317056453875,-0.308464701799725 51.5314817567399,-0.308944598566668 51.5300698615515,-0.310099632340262 51.5296720145171,-0.311327547403835 51.5297909495146,-0.311388097031068 51.5304522422802,-0.312298546749104 51.530527732262,-0.312557493617179 51.5300188874444,-0.313230120170399 51.5301168019775,-0.312781293243567 51.531094725188,-0.313679730655619 51.5311753730093,-0.315477249114662 51.5304867238625,-0.315870848130216 51.5292338767029,-0.31865042538604 51.528805914089,-0.320050452372257 51.5299656987552,-0.320079338347264 51.5309066516182,-0.321418367224121 51.5315179334801,-0.322767304747698 51.5314094373548,-0.323649155733615 51.5308895636954,-0.323449970865793 51.5301916498077,-0.324444183263687 51.5299247012631,-0.324765865173251 51.5292127182487,-0.326303786132422 51.5290460565284,-0.32794034653209 51.530255592292,-0.327579695369644 51.5307165122799,-0.327834403116934 51.5310529832387,-0.327845973532035 51.5336898902586,-0.329057975424003 51.5336840847118,-0.328801458088067 51.5339798555868,-0.329802563213253 51.5340184001857,-0.329951912370841 51.5319073511673,-0.332722941263497 51.5320590247211,-0.333273599370044 51.5338696553943,-0.333278170038206 51.53400150202,-0.333977965501303 51.5340752059635,-0.337022168971382 51.5344605522914,-0.337839799878744 51.5361557153541,-0.33826811188946 51.5376990992951,-0.336990726890918 51.5390923795268,-0.335485035451637 51.5395184101774,-0.333972427604746 51.5395024258054,-0.330029531284566 51.5384751688738,-0.329772543476163 51.538410183381,-0.329992929358189 51.5397493372769,-0.330966495409577 51.5396694737817,-0.331804709018023 51.5413071687879,-0.331602743642012 51.5421720499272,-0.329639019685705 51.5416492469436,-0.328251502241113 51.5420412673574,-0.325114249782435 51.5423202809576,-0.323519859433267 51.5419094481683)))",E02000244,Ealing 007,Perivale,,1,2,0,0,0,3,7172,3863,281,1645,606,777,3309,53.9,3.9,22.9,8.4,10.8,46.1,12.0,18.5,1844,69.4,814,30.6
"MULTIPOLYGON (((-0.395005302177384 51.5480075337029,-0.388866985215258 51.5465508043824,-0.382447603437906 51.5445941907974,-0.382044967906438 51.5444608510899,-0.380162183241841 51.5437964713476,-0.378377073569346 51.5431664484196,-0.374392847656908 51.5417685430051,-0.374585508879985 51.5414855834882,-0.375931742802261 51.5395297153237,-0.375872757623156 51.5395072455559,-0.375700075075971 51.5394514592236,-0.374673857779211 51.5391048320915,-0.375219346522062 51.5377292403884,-0.377114328499087 51.5378925273794,-0.377265424860653 51.5362270912405,-0.378805662115359 51.5364150734534,-0.379268610353032 51.5353774820603,-0.378488175441914 51.5351903787973,-0.378136353610739 51.5359374721453,-0.376331197955273 51.5358254681367,-0.376399127268418 51.5348127060037,-0.375911734958918 51.5349076620584,-0.375945118108181 51.5355204945543,-0.373979564340493 51.5354112604173,-0.37374130961562 51.5359299567234,-0.373262659511192 51.5358750507016,-0.373280360336793 51.5356414263453,-0.373528867902839 51.5345265266438,-0.372950527454946 51.5345185973639,-0.372519330697818 51.534082824073,-0.373801816503495 51.533459345118,-0.374023624493156 51.5337729210324,-0.374752203473617 51.5331684246535,-0.374733818415696 51.5328130399277,-0.375574520520652 51.5310531066397,-0.376349889978333 51.5311136300957,-0.376360506761367 51.5313801268306,-0.376478382091404 51.5320136059589,-0.378178800495911 51.5321930051777,-0.378622507785764 51.5321660737449,-0.379643399485491 51.5310714280334,-0.37972822884891 51.5308814249294,-0.379765256386149 51.5307984614821,-0.381005534606598 51.5294162768534,-0.384149444448691 51.529977528421,-0.384198753728197 51.5299880180728,-0.38671902902055 51.5303836861949,-0.387170913839897 51.5295547470171,-0.389863959903117 51.5309439255595,-0.389915504503261 51.5317276570249,-0.390051030928539 51.5324092922582,-0.390091974844849 51.5332169501131,-0.388997909393146 51.5330606642535,-0.388503894774088 51.533605758669,-0.389006605493633 51.533832522309,-0.387979293164171 51.5340408876208,-0.388740346058087 51.5345369305898,-0.388334668762734 51.5350742631903,-0.388590786209222 51.5355972611873,-0.388936015207582 51.5360966457782,-0.388553149063199 51.5364748064922,-0.387487551999907 51.5358760496417,-0.386671724256624 51.5356974169004,-0.385023563560514 51.5347347580646,-0.381248472795053 51.5353864537837,-0.383076849681743 51.5378524320833,-0.383978017336652 51.5388100193861,-0.384085654365769 51.5389319255762,-0.384278598130871 51.5384267837448,-0.385291395996952 51.5383845255995,-0.386067125705962 51.539091366864,-0.385049559519738 51.5394793525147,-0.386371556844443 51.5399508209364,-0.386535394165093 51.5407521574237,-0.389042210582539 51.5408345052659,-0.390627562988086 51.5399790099132,-0.391218654279062 51.5402861610291,-0.391535263575944 51.5411835442171,-0.393388927168724 51.5409221894181,-0.393255034479181 51.5413607127991,-0.393914315877615 51.5416903021979,-0.395408830822061 51.5414961339972,-0.397339532558374 51.5412310854283,-0.397527802271309 51.5423675813603,-0.395307350213072 51.5425990684321,-0.395462288006904 51.543715940442,-0.396521448231253 51.5459956062672,-0.397913180902321 51.5457126778385,-0.39872923275176 51.5479634377469,-0.394944527031425 51.5476595230494,-0.395005302177384 51.5480075337029)))",E02000245,Ealing 008,Northolt South,,1,6,3,0,0,10,8156,3548,464,2063,1670,411,4608,43.5,5.7,25.3,20.5,5.0,56.5,33.9,35.3,2422,75.5,788,24.5
